id,text,category
0,好东西，峰哥辛苦了,0
1,"[CQ:reply,id=1515437902]公改班的话难度不大（个人感觉）",0
2,好的好的,0
3,"欢迎新人[CQ:face,id=178]",0
4,好的哥,0
5,"[CQ:reply,id=1407540508]他是这么说的",0
6,我想开摆,0
7,听说有机器?,0
8,今年刚加的,0
9,通知在哪儿看啊,0
10,咱们有社会实践的群吗？,0
11,今晚看电影,0
12,"[CQ:face,id=32][CQ:face,id=311]",0
13,但是常宝荣上面给的最后分构成没有随堂测试,0
14,哪一门不是这样,0
15,张佼说她随堂测不算分,0
16,请问万良田老师人好吗,0
17,"[CQ:reply,id=906559680][CQ:at,qq=2412211399] 讲座吧[CQ:at,qq=2412211399]",0
18,四舍租半天电脑，一直到明天早上,0
19,"[CQ:reply,id=-2138681768][CQ:at,qq=1034456463] [CQ:at,qq=1034456463] 忙死",0
20,不知道为啥冒出来个一学期一测,0
21,他那意思上学期及格就不用去了,0
22,那可能是我以前登过,0
23,matlab,0
24,校园网没事啊,0
25,宿舍里也有,0
26,珍爱毕设远离徐教务,0
27,因为要跟着主校的那个二维码啥的，都是机器录的,0
28,但是老师给分高,0
29,应该还是正常闭卷考吧,0
30,甚至都没有卷,0
31,最近两次没刷,0
32,反正也不录进去,0
33,"[CQ:reply,id=-1622829710][CQ:at,qq=3356714195] 离大谱",0
34,不止你,0
35,确实,0
36,我任何体测项目的任何成绩全都没有录上,0
37,选修挂科影响出国？,0
38,没有就不用,0
39,是不是填串了,0
40,"拿着工资不干人事儿。[CQ:face,id=36]真tm的恶心",0
41,会拖你的分数,0
42,在不去测的情况下,0
43,不影响毕业就不去了,0
44,还有一些评优之类的,0
45,坐在寝室完成了体测,0
46,还是要去一下的,0
47,管他的，到时候再说,0
48,这不是能扯皮?,0
49,还有一点是软院好像辅导员没通知这个吧,0
50,对啊,0
51,就是体育满分100，体测占10分好像是,0
52,不会。。审核是学生,0
53,他说没有补测,0
54,不及格就取消你资格呗,0
55,但我去不了,0
56,只不过去年疫情,0
57,别尬黑,0
58,话说体测不合格会怎样（,0
59,之前都是乱填,0
60,会不会很难,0
61,你说影响不,0
62,"[CQ:reply,id=-931071250][CQ:at,qq=1034456463] [CQ:at,qq=1034456463] 来学生工",0
63,体测不及格没奖学金资格,0
64,"有人辅修过英语吗[CQ:face,id=297][CQ:face,id=297][CQ:face,id=297]",0
65,"[CQ:face,id=265]",0
66,问一下学长学姐推荐辅修嘛,0
67,离谱,0
68,那个我以为你出毛概。。,0
69,体测50来分可以毕业吗,0
70,"[CQ:face,id=5][CQ:face,id=5][CQ:face,id=5][CQ:face,id=5]",0
71,哪个难,0
72,还有早八考,0
73,教务都是傻狗,0
74,"[CQ:face,id=267]",0
75,为啥叫老虎斌斌,0
76,可以看看综一那个高数复习资料,0
77,"[CQ:face,id=277]?",0
78,这种人怎么当上教务的啊,0
79,第三，要想拓展视野可以看别的学校的教材或者是考研资料,0
80,但是你已经是一个大人了，你应该全都要,0
81,你沟通了个鸡巴呢?,0
82,"不买打印店的复习资料是因为都很烂吗还是网上都找得到[CQ:face,id=111]",0
83,我以前是邮局邮寄,0
84,友友们有人知道酷迪咖啡那个1元券在哪抢吗,0
85,物美价廉,0
86,直接走学院问,0
87,不过几乎学不到啥东西,0
88,得不偿失,0
89,这就是敷衍一下吗,0
90,多数辅修都坚持不下来,0
91,"[CQ:reply,id=1341526008]很好过",0
92,食堂好像有领导检查,0
93,需要补考建议选赵志男,0
94,我王磊94hhh,0
95,然后呢,0
96,他校队二把手都没上90,0
97,收收收,0
98,sing,0
99,长安十二时辰最火了吧,0
100,现在就剩个头,0
101,李哥真可爱,0
102,我12点也进了,0
103,这个真有人挂,0
104,冬天刮风也不用去,0
105,自己经常快十二点去买喝的,0
106,体育选水的就行,0
107,有人知道吗,0
108,卡的根本进不去,0
109,出勤够了不会挂吧,0
110,"[CQ:face,id=347]",0
111,收个显示器,0
112,你能不能一次把话说完,0
113,题库答案都做不到自己负责,0
114,羡慕富二代,0
115,"周围有什么理发店推荐吗[CQ:face,id=344]",0
116,没事学弟 大二好好学 学完了就会感觉日语提升挺大的了,0
117,就剩你了，老李,0
118,创业管理给30意愿值算多还是算少啊,0
119,gap还是可以的,0
120,kakikukeko,0
121,国際化,0
122,填空题和计算填空题,0
123,"[CQ:reply,id=-1490923000][CQ:at,qq=1020918898] 可以来naosi的软国仓库看看[CQ:face,id=277]",0
124,aiueo,0
125,学霓虹语真好啊,0
126,不难,0
127,今晚社会学找个代课，5：30-8：00,0
128,"[CQ:reply,id=-1606810397]正确的，计科卷王一大堆",0
129,我都没说过。?,0
130,我才550,0
131,"[CQ:reply,id=-1606810397]错误的 现在也没几个好好学的",0
132,周末休息也准时,0
133,我同学参与他的项目,0
134,据说吧，之后lb人好像还挺好,0
135,所以没录,0
136,反正都要重修,0
137,软国我知道有竞赛✌?️都没90,0
138,不是结束,0
139,我记得是王胜法,0
140,好好好,0
141,他说他挂的人数符合什么曲线,0
142,问他,0
143,什么卷王,0
144,太傻逼了,0
145,现在650优秀,0
146,哈哈哈哈,0
147,那你直接骂教务,0
148,95-99的多,0
149,lj机械85都难,0
150,教务什么死妈东西,0
151,"[CQ:reply,id=1653819960][CQ:face,id=344][CQ:face,id=344]",0
152,影响毕业不,0
153,我有两次半没写出来。,0
154,lb应该也给不了我几分,0
155,缓考没有平时分,0
156,给笑脸给多了,0
157,按照这个算法,0
158,或者考前一天你们考我，我给大伙透题也行,0
159,我都背完讲义了，那确实没啥事,0
160,清华预推免可以报几个呀，听说是3个？,0
161,真的,0
162,确实新的贩卖机好看一些,0
163,以前考试随便混过去就行,0
164,"开始怀念疫情时代了[CQ:face,id=226]",0
165,还在弄就没拍了,0
166,"新的贩卖机真的上零食了[CQ:face,id=337]",0
167,"[CQ:face,id=226][CQ:face,id=226][CQ:face,id=226]",0
168,那看来得背知识点了,0
169,我们是，15个单选，15个判断，10个多选,0
170,"我看贴吧上说不影响毕业，不知道是不是真的[CQ:face,id=174]",0
171,收《工科数学分析同步辅导》,0
172,我是开发区的,0
173,第三学年的就不太清楚了（（,0
174,但必修课是共通的吧,0
175,在哪有,0
176,及格了也拿不到奖学金，跟我有什么关系,0
177,"[CQ:reply,id=183538568][CQ:at,qq=2321047703] 是这样的",0
178,经济学原理考的挺简单，都是原题,0
179,我们抛开事实不谈，成绩没录入你是不是也有责任吧,0
180,啊？,0
181,没成绩就重跑，不及格也重跑,0
182,"[CQ:reply,id=1740124280][CQ:at,qq=2069906766] [CQ:at,qq=2069906766] 很好",0
183,怎么看待专业课老师 一次签到占总成绩7.5分,0
184,那这次测长跑吗?,0
185,这以前的体测成绩都没录呀,0
186,"[CQ:reply,id=-179278457][CQ:at,qq=930942088] [CQ:at,qq=930942088] 这种事核心根本不是谁有问题（（",0
187,而是不管谁出问题了负责的都是学生（（（,0
188,清华好多夏令营也不发offer,0
189,谢谢兄弟,0
190,今年西交不面试也不发优营,0
191,neu点击就送,0
192,不同学科没法比的,0
193,哦哦哦，多谢啦,0
194,不高,0
195,"[CQ:at,qq=274206710] 你个老东西怎么这么闲到处水群",0
196,我去看看体育馆群里那位大官员,0
197,你就能网上举报他,0
198,我大一没及格也得了成绩,0
199,不影响我正常毕业就行?,0
200,我认识个人就爱用这个表情,0
201,永远留在大工,0
202,我们报海洋机会也不大吧,0
203,好像上次测过了，但没录,0
204,我感觉应该很多人没及格,0
205,然后体育学院没人负责,0
206,"[CQ:reply,id=1628937814][CQ:at,qq=1034456463] [CQ:at,qq=1034456463] 把乒乓球改成原神[CQ:face,id=339]",0
207,"[CQ:reply,id=1638106330][CQ:at,qq=1336388296] [CQ:at,qq=1336388296] +1",0
208,"海洋是不是跨得有点多了[CQ:face,id=277]",0
209,"[CQ:reply,id=-1074130928][CQ:at,qq=1357290132] [CQ:at,qq=1357290132] 挺高的",0
210,大一奖学金看大英三四的成绩吗,0
211,去年明明测了bmi,0
212,"清深和我没啥关系[CQ:face,id=173]",0
213,清深开了吗,0
214,"[CQ:reply,id=366356024]上学期上了两次线下",0
215,这都是她请假的理由,0
216,上了一个学期，我还不知道她长啥样,0
217,最后给分咋样啊,0
218,"[CQ:reply,id=-1544719828][CQ:at,qq=2097517935] 为啥你大三的有啊",0
219,我那上面全没成绩,0
220,你阶段测试没测叭,0
221,你去真实他,0
222,好的谢谢你,0
223,那对什么有影响,0
224,还是关注一下被“虐待”的丫丫吧,0
225,南开的事情,0
226,还没录进去,0
227,问问体育老师,0
228,"[CQ:face,id=277]",0
229,上学期健美操也测了啊,0
230,"xdm 西交人机所有夏令营不 还是只有预推免呢 要提前找老师嘛[CQ:face,id=34]",0
231,哈哈，我刚刷到那个视频,0
232,"阳了就是下学期补上[CQ:face,id=277]",0
233,xxn的事少管,0
234,知道为什么自动贩卖机没了,0
235,"[CQ:reply,id=581915199]只能解决99%的问题",0
236,"[CQ:reply,id=1286820840]重装系统",0
237,"[CQ:reply,id=1286820840]先右键C盘 属性 磁盘清理 浅浅清一下 再关闭电脑的休眠文件 这样能获得几个G以上的空间 再下个ccleaner 让它来帮你清理C盘[CQ:face,id=270]",0
238,我们老师说超过10的就别填,0
239,gg,0
240,我这学期肯定比比上学期低,0
241,有分的没及格，没分的算每测,0
242,体测不是按年算的,0
243,他没给我们录,0
244,然后把主校区改成开发区就发过来了,0
245,排球也没有啊,0
246,C盘满了怎么清啊,0
247,没系统我怎么知道我多少分,0
248,这是体测,0
249,这学期我们老师说，期末有10分是体质测试分,0
250,天天这个不清楚问老师问老师，问老师又说看教务通知踢nm皮球,0
251,教务说以现场为准,0
252,我也没缺席啊?,0
253,我也0分,0
254,主校区测过了,0
255,???,0
256,之前都测了,0
257,是哪个学期，现在这个学期吗,0
258,分,0
259,上学期直接扫码自己填表的及格了,0
260,"[CQ:reply,id=587424921]不知道",0
261,感觉要,0
262,谁跟你说的,0
263,这工训中心?,0
264,这边恶心人马,0
265,同问，上学期的体测不及格啊,0
266,是加公告里发的微信群吗,0
267,不到60不能毕业吗,0
268,出软国22年面向对象uml，自然语言处理nlp期末真题,0
269,背,0
270,收软国nlp资料,0
271,收软国uml资料，包括练习题和往年期末题,0
272,令希最早啥时候能进,0
273,有人看欧联杯吗,0
274,确实比齐齐哈尔少,0
275,"[CQ:face,id=344][CQ:face,id=344]给我咬好几个大包",0
276,选的英2,0
277,泥工不是有风洞实验室吗,0
278,也是本高,0
279,"[CQ:reply,id=7737665]大工美女千千万，，",0
280,全班都能听到我放的啥歌,0
281,我今天也丢脸了,0
282,孙丽超级好,0
283,我从建艺闲着没事跑生工去了,0
284,啥也不说了，我马上就转专业,0
285,把数学扔掉我寄点嘎嘎嘎,0
286,"我就知道我确实是不适合学这玩意了[CQ:face,id=344]",0
287,佬,0
288,一个是关于d区的，一个是关于前沿化学的,0
289,"[CQ:face,id=264][CQ:face,id=264]",0
290,"[CQ:face,id=277]?",0
291,最后高三百天几乎都是摆烂了,0
292,真的希望做PPT的能靠谱一些,0
293,我们班没有考好的,0
294,史纲分组我当时还挺感动的,0
295,"[CQ:reply,id=-234199046]好家伙",0
296,我也汇报捏,0
297,我想过,0
298,"[CQ:reply,id=-1801093031]我也",0
299,因为我莽,0
300,"为什么表白会被拒绝[CQ:face,id=343]",0
301,"[CQ:reply,id=554434068][CQ:at,qq=1657738928] [CQ:at,qq=1657738928] 不会画画",0
302,enfp,0
303,现在总是怕说错话，也就不敢说了,0
304,难道一个内向的人一定要变得开朗才能有人喜欢吗,0
305,我一直觉得女孩子都是美的,0
306,性格能改,0
307,变得更优秀,0
308,"[CQ:reply,id=208583636]我也是，救命",0
309,"[CQ:reply,id=-1674174872]对",0
310,你真的挺勇敢的,0
311,但我还是有点悲伤,0
312,喝了九瓶了，人都迷糊了,0
313,那就说,0
314,只要不成功  肯定回不去了,0
315,一回寝室我哭哭,0
316,这个可以,0
317,我好伤心,0
318,我觉得试一下是对的,0
319,我是沃尔玛购物袋,0
320,要不然撕不了那么凶,0
321,群里刚刚就差点对立起来了。。。,0
322,【王源演唱会大量女生穿婚纱喊“我们结婚吧”演唱会变集体婚礼现场-哔哩哔哩】 https://b23.tv/WJVzmvM,0
323,记住，我是盒子他爸爸,0
324,果然八婆是人类的本质,0
325,明天我不一定在群里，建议私聊我，告诉我后续发展,0
326,什么是crush,0
327,"[CQ:reply,id=535537567]投毒吧",0
328,?,0
329,"[CQ:reply,id=-1271714678]这什么话啊，正常聊天和性暗示聊天肯定不一样啊",0
330,"[CQ:reply,id=-1271714678]至少得有点边界感",0
331,“那鸽鸽怎么办鸭”,0
332,要把我抢走,0
333,你在什么圈子 你圈子里就是什么人,0
334,"不过无所谓，我找不到[CQ:face,id=182]",0
335,看看贾振元,0
336,三观不同不一定下头,0
337,如果她说只是普通朋友呢,0
338,你不知道也还好，知道了还这样那你就也有错误了,0
339,"[CQ:reply,id=1830835556][CQ:at,qq=3565476166] [CQ:at,qq=3565476166] 你不是一个人",0
340,算了吧,0
341,果然，这个群每天都在让我开眼界,0
342,真愿打愿挨,0
343,墨迹啥啊,0
344,"[CQ:reply,id=-782687631]啥时候换",0
345,反正肉没少,0
346,确实,0
347,别撬,0
348,大家晚安,0
349,问到点上了,0
350,惩罚一下小仙女，好吗,0
351,给我搓硬了,0
352,反正很难绷,0
353,感情还不错,0
354,现在就正常亲人,0
355,小学跟女同学互摸过,0
356,你说的对，但是《原神》是由米哈游自主研发的一款全新开放世界冒险游戏。游戏发生在一个被称作「提瓦特」的幻想世界，在这里，被神选中的人将被授予「神之眼」，导引元素之力。你将扮演一位名为「旅行者」的神秘角色，在自由的旅行中邂逅性格各异、能力独特的同伴们，和他们一起击败强敌，找回失散的亲人——同时，逐步发掘「原神」的真相。,0
357,离谱了兄弟,0
358,别一直强调舔你,0
359,这不道德,0
360,吞10086根针,0
361,乐,0
362,坏女人??,0
363,根据我以往的恋爱经验来看,0
364,今天还和我说,0
365,我还记得我表姐坐在浴缸里尿尿的样子,0
366,一个女生,0
367,几年级啊,0
368,上头,0
369,群主，我想问下，咱们六一福利还是不是跟以前一样每人 5000美金现金+2根金条+20瓶茅台 +8箱阳澄湖大闸蟹 +4斤藏红花 +10盒燕窝+8盒虫草+ iPhone 14 Pro Max 1TB 暗紫色+Lv trianer 黑色和牛仔蓝共两双+一条不锈钢裤衩+一箱黄桃罐头+辣椒炒肉+大葱蘸酱+钙奶片+游戏礼包+一箱连花清瘟+一条中华+一箱奥利奥+一箱薯片+一箱康师傅泡面+一个对象+一个英国爵位+三个詹姆斯韦布望远镜使用权+五个舔狗+三套高定礼服+一个手办+包年b站大会员+包年腾讯会员+一条大金链子+5套cos服+语数英物化家教政地生历老师+10个648+9999个纠缠之缘（原神）+100个二次元人物的立牌+999999个回声（第五）＋999999999999个星石（hp）+114514根蜡烛（光遇）+1000颗心（光遇）+一套北京四合院+99999999磕钻石（mc）+12个大月卡（原神）+一杯阿华田+奶茶+一个豌豆射手+一只布偶猫+一只三花猫+一只金毛+一只萨摩耶+一只贵宾犬+一只美短+喜灰电影票+熊出没电影票+无限兑换码+丝之歌+一个apple watch series8爱马仕表带版+银行卡打款100亿美金+一台黑色的华为mate50+保时捷12+512G +一部蓝色的iPhone14Pro max 512G+一个Steam deck+一台Mac Pro （28 核 2.5GHz Intel Xeon W 28 核、56 线程 Turbo Boost 最高可达 4.4GHz 66.5MB 缓存 支持 2933MHz 内存 1.5TB AMD Radeon Pro W6800X Duo Apple Afterburner ProRes 和 ProRes RAW 加速卡 8TB 固态硬盘）+一台Pro Display XDR显示器（Nano-texture 纳米纹理玻璃面板+Pro Stand 支架）+一台ROG枪神6Plus 第12代英特尔酷睿17.3英寸游戏本笔记本电脑(i9-12900H 液金导热 32G 1TB 2.5K RTX3080Ti )+一辆劳斯莱斯库里南+一架波音747+湾流G-550（Gulfstream G-550私人飞机，兰博基尼Aventador Roadster特别版+一个switch oled外加200套随机游戏+一栋汤臣一品吗,0
370,会欣赏人体的美,0
371,请问校区周围有什么好的口腔医院,0
372,太高雅了,0
373,情商这个东西又不是就为了求偶,0
374,我的启蒙是看文艺复兴作品,0
375,"[CQ:reply,id=-1817872015][CQ:at,qq=3063401331] 其实你说的多了就会在平常生活里下意识的这么做了",0
376,之前我高中的时候就挺能跟班里女生搭上话的,0
377,意识到男女思维差异和社会现状之后就发现其实处对象也没啥好玩的,0
378,下课必须去luaoliao,0
379,今天买了wallpaper,0
380,cao,0
381,"[CQ:reply,id=560196243]美国派美国派！",0
382,"情商高且正派的人身边从来不会缺异性的[CQ:face,id=344]",0
383,我是因为懒,0
384,"[CQ:reply,id=-1387499250]非常赞同的",0
385,？？好奇怪呀，没有情商就去学呀，为啥要用情商低来标榜自己的纯情,0
386,饼干儿童节快乐,0
387,各找各的其实就造成现在这种状况,0
388,你小子,0
389,可能确实不大懂,0
390,是啊，没话找话那确实尴尬,0
391,没有乐趣的性爱是精神负担,0
392,我感觉至少不会反感,0
393,"[CQ:face,id=178]说不定老八从那以后再也没上了媳妇儿的床",0
394,哥们你太懂了,0
395,"[CQ:face,id=277][CQ:face,id=277]",0
396,大超可能有,0
397,要健康干嘛,0
398,互看不上罢了,0
399,"[CQ:face,id=182][CQ:face,id=182]",0
400,跟溜冰一样,0
401,我都喜欢吸舌头,0
402,性格合，不一定他多会说话吧,0
403,？？？,0
404,"[CQ:face,id=266]",0
405,"谁不想搞纯爱呢[CQ:face,id=5]",0
406,"[CQ:reply,id=1276751537][CQ:at,qq=1957739836] 貌似找到了",0
407,太强了,0
408,太荒谬啦,0
409,可以要群友吗,0
410,"可以找群友要嘛[CQ:face,id=111]",0
411,弟弟，你也不想你发资源的事情被大家知道吧,0
412,有在魔宿租的吗,0
413,"[CQ:face,id=347]",0
414,"[CQ:face,id=347]",0
415,主要我对那种事情没兴趣,0
416,"[CQ:face,id=3]",0
417,下次来点图辨认一下,0
418,六条腿可能是红火蚁（？,0
419,蜘蛛？,0
420,老子每堂课都去了,0
421,曰了狗,0
422,一般挂了的不都有补考么,0
423,真可惜我100,0
424,看了看还真出了,0
425,哪个班,0
426,我已经知道绵羊是谁了,0
427,月末了，还有130多G流量没用完,0
428,求租一条西裤，尺码180的,0
429,或者直接找他,0
430,不如再办个流量卡,0
431,好家伙，似乎还有《大鱼海棠》（好像是）……,0
432,跑分贼恐怖,0
433,有无佬,0
434,督导张毅,0
435,线上教学拷打是吧,0
436,特别是蒋老师,0
437,zzh让我想起了当时教概率的杨老师,0
438,zzh,0
439,确实,0
440,单世民上课折磨,0
441,"[CQ:reply,id=1756330548]有这么夸张吗",0
442,计网,0
443,可是首发价才7999,0
444,"[CQ:face,id=344][CQ:face,id=344]?",0
445,我靠,0
446,了不起大人,0
447,没有那种坏的纯粹的,0
448,有没有人有想法？,0
449,都不知道放多久了,0
450,软件的课就是水,0
451,龙王塘吗,0
452,软件那边的系统分析都没几个挂的,0
453,但是感觉被骗了（）,0
454,千兆,0
455,有什么推荐吗,0
456,龙王塘有采摘的,0
457,到季节的时候也这么贵吗,0
458,大连樱桃太贵了，不建议,0
459,"估计以后读他研究生去实验室晚了，就让你滚出去[CQ:face,id=29]",0
460,挺严格的,0
461,然后入坑,0
462,这种风评会有本校学生去读吗,0
463,我记得生活区有个洞,0
464,出近代史机考题及资料,0
465,期末？阶段？,0
466,本科生还好,0
467,孙伟峰田园覃振权怎么你了,0
468,"[CQ:reply,id=-1482030966]今天都最后一天了[CQ:face,id=277]",0
469,请问赵哲焕老师的数据库课程，所有作业都要交纸质版还是直接学习通拍照上传阿?,0
470,不认识200拿下,0
471,看什么牌子,0
472,"[CQ:face,id=178]",0
473,"[CQ:face,id=267][CQ:face,id=267]佬们看看这个方向有前途不",0
474,"[CQ:face,id=297]",0
475,头一次见转光电的,0
476,然后他坚定的跑路了,0
477,我们这儿光电一堆去清北的,0
478,清北华五里面明确开光学专业的就清华，浙大,0
479,量子算光电吗,0
480,跳入天坑是吧,0
481,中规中矩,0
482,学长是光电方向的嘛？可以咨询一下吗,0
483,我也是,0
484,一声枪响，选手们起跑了，博尔特目前领先，等等，有人超过他了，是霍金！是霍金！他遥遥领先，竟然把博尔特甩在身后，天呐，霍金冲线了，5.98秒，不敢相信，霍金5.98秒冲线啦！！！他创下了新的世界纪录！！,0
485,我反思,0
486,师兄们都在跑路,0
487,"我把把禁，害怕对面玩，也害怕队友玩[CQ:face,id=317]",0
488,"[CQ:reply,id=2052090131][CQ:at,qq=576405807] [CQ:at,qq=576405807] 哇去，感谢啊",0
489,他是一里出现的吗,0
490,"[CQ:reply,id=-781231573][CQ:at,qq=1912067474] 这个都绿了上面的也会绿",0
491,哦哦哦,0
492,"你在暗示什么，你想暗示什么[CQ:face,id=11]",0
493,"[CQ:at,qq=2788869118]",0
494,我觉得只看作业题85怎么都有了,0
495,她说去年前年疫情期间出题太简单了,0
496,我有大会员,0
497,离谱,0
498,不是及格就满分吗,0
499,我没问助教,0
500,大物哪个专业都是6.12吗？,0
501,大英,0
502,"[CQ:face,id=178]",0
503,这个iceman是干啥的啊,0
504,21世纪还长着呢,0
505,"最近（[CQ:face,id=277]）",0
506,"[CQ:face,id=344,type=sticker]",0
507,应该可以的,0
508,然后把空额留给鼠鼠,0
509,有没有能动志愿群啊,0
510,"希望新校长不要重蹈覆辙吧[CQ:face,id=178]",0
511,能打印资料带进去吗,0
512,"[CQ:face,id=173][CQ:face,id=173]",0
513,"党史几点下课，说几号考试了吗[CQ:face,id=5]",0
514,不要老坛酸菜的,0
515,贵族学校哈哈,0
516,感觉好尴尬,0
517,一周三次,0
518,下半身用弹力带,0
519,"[CQ:reply,id=1718186982]好的，谢谢你",0
520,跑步真的容易出问题,0
521,可能是跑前没热身,0
522,主要是我平时都是坚持跑步,0
523,舍友是变态怎么办,0
524,"[CQ:reply,id=-320049181][CQ:at,qq=2684774530] 鼎 桥",0
525,100%,0
526,打游戏啥还得靠电脑,0
527,我就喜欢用redmi,0
528,所以放心买华为吧,0
529,"在脖子上挂大金砖更受欢迎[CQ:face,id=300]",0
530,"[CQ:at,qq=1068074426] 你太善良了?",0
531,不挂就行,0
532,哈哈哈哈哈哈哈哈,0
533,"[CQ:reply,id=-1992113968]官网",0
534,嘉年华干啥的,0
535,是暑期优惠,0
536,"[CQ:reply,id=684073025][CQ:at,qq=1322938173] [CQ:at,qq=1322938173] 是不是xl老师[CQ:face,id=277]",0
537,"[CQ:reply,id=1832674607][CQ:at,qq=2302233695] [CQ:at,qq=2302233695] 为什么不来20舍[CQ:face,id=326]",0
538,主要是人家也要洗,0
539,请问有没有人捡到我的玉兰卡,0
540,不用绝食，控制饮食就能瘦的很轻松,0
541,瘦不了一点,0
542,不过瘦下来确实变好看了,0
543,现在是修改不了信息了吗,0
544,绝食永远反弹,0
545,考研人必须活动身体，不然免疫力和腰颈椎都受不了,0
546,"理想的生活状态[CQ:face,id=76]",0
547,嗯嗯,0
548,运动绝对是最好的兴趣之一,0
549,去跑步还要遮来遮去的,0
550,只要够自律,0
551,我上次就上当了(,0
552,"[CQ:reply,id=-1438808740]护肤",0
553,而且整个人变得更健康了,0
554,感觉健身的男生确实蛮帅的,0
555,女性卧推60kg就是大佬了，但是男性卧推60kg还是菜鸡,0
556,男性睾酮素是女性的15～25倍,0
557,要新开的班吧,0
558,这是什么班,0
559,争取今年卧推过100,0
560,彭于晏?,0
561,我要是一直躺着，一天只需要吃一顿,0
562,邮局,0
563,我就在喝奶茶,0
564,"[CQ:reply,id=285880245]光合作用[CQ:face,id=277]",0
565,反正就是不吃晚饭，每天晚上锻炼一个小时,0
566,收数据库、操作系统真题,0
567,微胖要是前凸后翘,0
568,比如五五分的身材,0
569,差不多了,0
570,除非是病理性的,0
571,好的，谢谢兄弟！,0
572,也不完全天生吧,0
573,只能说很多好看的衣服对身材要求极高,0
574,我知道,0
575,欢迎欢迎,0
576,海事？,0
577,外卖那个吗,0
578,我感觉看体重没用,0
579,瘦成杆子了,0
580,大腿主要是得有些肌肉,0
581,"[CQ:reply,id=-2076463905]所以",0
582,不如直接拍卖,0
583,这是为什么,0
584,120以下都不要紧,0
585,？,0
586,基本上女生都是爱漂亮的多,0
587,那就是你学长,0
588,"[CQ:reply,id=97246806]",0
589,哦确实,0
590,说到底还是基数问题,0
591,美女确实没那么颜控吧,0
592,蚌埠住了,0
593,我怎么是驴子,0
594,老许,0
595,快进到大超可乐涨价,0
596,"[CQ:reply,id=-539791316][CQ:at,qq=3522667062] 再过一年和现在也差不多[CQ:face,id=312]",0
597,刚分手肯定会觉得寂寞,0
598,"[CQ:reply,id=626271089]这种一般要么正在谈恋爱",0
599,帅的很难没谈过吧,0
600,不冰不喝,0
601,没事了,0
602,责，然后想夹一下,0
603,问就是区间可变化,0
604,基本从高中,0
605,"[CQ:face,id=282]",0
606,群友有知道,0
607,看啥样的任务吧,0
608,对,0
609,练的好了,0
610,总不能人人都又丑又矮吧,0
611,"[CQ:face,id=342,type=sticker]",0
612,"这是偷钱那个燕子吗[CQ:face,id=230][CQ:face,id=230]",0
613,小样本,0
614,那你为啥,0
615,他妈的你真是个全能大佬,0
616,"[CQ:reply,id=1322249641]得看女生是什么样的",0
617,在南方的时候基本见不到女朋友比男朋友高的,0
618,你明年就没有了,0
619,"谨言慎行[CQ:face,id=178][CQ:face,id=178][CQ:face,id=178]",0
620,西交群名场面（）,0
621,阁下又该如何应对,0
622,"问问群佬互联网+是干什么的[CQ:face,id=111]怎么组队，要干什么，好拿奖嘛",0
623,时间紧,0
